77.9138,0.1544,2.3519,1
63.8926,0.2358,2.2522,1
62.1149,0.2308,2.3079,1
61.9325,0.1877,2.3783,1
60.7727,0.1657,2.3913,1
60.3034,0.1435,2.4024,1
60.402,0.1214,2.4114,1
60.7674,0.1043,2.4289,1
61.1586,0.0901,2.4522,1
61.4846,0.0777,2.4789,1
61.5923,0.0662,2.5075,1
61.3479,0.0557,2.5371,1
60.783,0.0487,2.5551,1
60.2389,0.0438,2.5656,1
60.2108,0.0413,2.5726,1
62.5533,0.092,2.502,1
61.7567,0.0879,2.4922,1
61.761,0.0796,2.49,1
62.9075,0.0715,2.4972,1
65.6852,0.0652,2.5139,1
60.5615,0.0467,2.5651,1
56.519,0.0376,2.611,1
56.4811,0.035,2.611,1
56.454,0.0315,2.611,1
55.2358,0.0362,2.623,1